schluessel;regionaleinheit;2005;2010;2015;2020
01;Schleswig-Holstein;554.6;512.9;549.6;581.1
02;Hamburg;481.8;403.3;425.8;435.3
03;Niedersachsen;557.6;518.4;568.7;602.1
04;Bremen;441.4;394.7;423.2;432.4
05;Nordrhein-Westfalen;538.5;498.1;537.4;570.1
06;Hessen;584.4;540.9;571.7;597.1
07;Rheinland-Pfalz;588.3;554.2;591.9;624.5
08;Baden-Württemberg;573.8;532.2;575.8;605.7
09;Bayern;586.7;548.6;585.2;616.9
10;Saarland;602;569.3;615.2;650.9
11;Berlin;359.5;321.2;335.8;332.9
12;Brandenburg;556.6;521.2;550.6;570.7
13;Mecklenburg-Vorpommern;521.7;490.4;516.4;537.9
14;Sachsen;533.9;494.4;516.5;531.2
15;Sachsen-Anhalt;528.7;503;532.3;554
16;Thüringen;544.3;511.9;539.6;557.5
